Quarterly Results of Bajaj Auto(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '09,Jun '08,Mar '08
Net Sales/Income from operations,"11,249.80","12,165.33","10,838.24","10,055.51","8,660.99","9,318.54","9,911.06","7,768.89","7,728.13","8,805.50","8,385.78","7,216.57","8,412.80","8,730.10","7,041.48","2,948.52","6,610.90","7,436.42","7,499.21","7,565.01","7,225.20","7,243.07","7,831.79","7,267.19","6,650.81","6,246.23","6,461.30","5,328.48","4,805.03","4,975.56","5,949.32","5,984.41","5,251.96","5,446.13","5,962.77","5,772.81","1,883.27","2,338.37",--
Other Operating Income,305.15,--,--,256.40,268.24,--,291.65,236.01,246.71,216.15,376.40,169.47,183.30,179.78,114.38,130.72,204.95,203.24,208.11,190.81,169.99,166.29,204.55,197.70,122.49,123.11,105.13,113.89,92.29,91.33,105.20,104.34,107.53,101.70,117.15,108.43,--,--,--
Total Income From Operations,"11,554.95","12,165.33","10,838.24","10,311.91","8,929.23","9,318.54","10,202.71","8,004.90","7,974.84","9,021.65","8,762.18","7,386.04","8,596.10","8,909.88","7,155.86","3,079.24","6,815.85","7,639.66","7,707.32","7,755.82","7,395.19","7,409.36","8,036.34","7,464.89","6,773.30","6,369.34","6,566.43","5,442.37","4,897.32","5,066.89","6,054.52","6,088.75","5,359.49","5,547.83","6,079.92","5,881.24","1,883.27","2,338.37",--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"7,458.38","7,890.82","7,231.49","6,686.78","5,867.61","5,829.50","6,940.62","5,435.40","5,326.66","6,036.97","5,926.15","4,880.10","5,845.38","5,993.05","4,773.74","1,695.92","4,490.52","4,727.65","5,265.18","5,001.27","5,042.45","5,033.36","5,416.24","4,805.33","4,488.57","3,970.97","4,116.70","3,422.92","3,019.53","2,992.32","3,750.47","3,523.04","3,170.60","3,383.43","3,758.40","3,404.58","1,229.86","1,623.15",--
Purchase of Traded Goods,728.02,693.37,666.02,614.69,622.87,567.64,489.55,468.39,558.33,540.72,488.73,384.20,597.76,486.47,347.06,89.75,411.08,437.21,400.21,338.17,401.84,409.05,413.93,354.56,338.95,404.40,325.97,331.93,379.92,323.71,340.57,338.27,341.28,345.26,319.18,270.68,--,--,--
Increase/Decrease in Stocks,-69.29,70.34,-194.11,116.72,-223.35,193.12,56.03,-126.13,-149.26,165.56,41.58,130.08,-266.46,-171.28,-62.67,280.93,-236.33,177.38,-228.39,224.33,-99.26,-45.25,-46.33,134.42,-130.58,-20.70,106.54,54.42,-79.18,68.02,-33.98,1.46,21.38,-32.92,-22.50,97.49,1.56,34.65,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,420.62,404.15,400.88,401.35,379.51,361.55,359.81,383.60,306.82,340.80,352.92,362.25,308.11,317.32,324.99,337.68,342.39,348.62,338.89,360.91,312.83,317.31,312.40,314.35,266.34,265.49,264.95,272.70,227.42,242.34,259.32,268.31,202.40,229.91,241.40,243.41,95.94,109.93,--
Depreciation,92.81,92.91,91.82,87.23,75.99,74.82,67.48,67.56,69.83,69.97,65.74,64.22,66.24,65.02,64.32,63.79,63.27,61.68,61.34,60.14,60.83,63.38,71.51,69.97,87.89,74.68,76.97,75.26,75.70,77.17,76.95,77.47,76.10,74.64,78.01,78.41,31.47,33.74,41.67
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,-14.59,--,--,-19.74,-12.45,-6.59,-3.73,-5.05,-2.32,-3.17,-5.70,-2.10,-5.66,-1.97,-2.93,-1.71,-5.52,-10.23,-8.75,-5.47,-10.92,-8.62,-6.20,-4.36,--,--,--,--,--,--,--,--,-5.20,-3.66,--,--,-1.66,-3.08,-6.29
Other Expenses,747.55,691.75,603.83,579.84,637.83,616.03,610.79,562.30,573.93,569.57,558.42,513.55,595.09,557.63,509.95,268.25,561.13,591.92,661.35,639.49,586.60,548.16,532.99,522.62,494.39,518.57,468.28,422.49,444.69,396.49,443.68,781.69,475.88,454.36,466.94,725.10,283.78,293.91,290.95
"P/L Before Other Inc., Int., Excpt. Items & Tax","2,191.45","2,321.99","2,038.31","1,845.04","1,581.22","1,682.47","1,682.16","1,218.83","1,290.85","1,301.23","1,334.34","1,053.74","1,455.64","1,663.64","1,201.40",344.63,"1,189.31","1,305.43","1,217.49","1,136.98","1,100.82","1,091.97","1,341.80","1,268.00","1,227.74","1,155.93","1,220.50",862.65,829.24,966.84,"1,217.51","1,098.51","1,077.05","1,096.81","1,238.49","1,061.57",242.32,246.07,-326.33
Other Income,359.99,356.33,368.60,351.10,263.50,270.53,333.85,319.64,288.86,347.66,318.32,329.30,283.60,369.18,285.80,337.88,427.46,366.22,393.44,337.45,432.79,469.98,310.40,252.55,365.74,225.88,297.18,323.47,293.74,318.69,342.71,267.09,256.96,242.49,268.01,217.12,22.75,--,20.46
"P/L Before Int., Excpt. Items & Tax","2,551.44","2,678.32","2,406.91","2,196.14","1,844.72","1,953.00","2,016.01","1,538.47","1,579.71","1,648.89","1,652.66","1,383.04","1,739.24","2,032.82","1,487.20",682.51,"1,616.77","1,671.65","1,610.93","1,474.43","1,533.61","1,561.95","1,652.20","1,520.55","1,593.48","1,381.81","1,517.68","1,186.12","1,122.98","1,285.53","1,560.22","1,365.60","1,334.01","1,339.30","1,506.50","1,278.69",265.07,246.07,-305.87
Interest,29.63,12.10,6.54,12.09,15.77,8.48,10.92,4.34,2.88,1.79,1.70,2.29,2.04,1.02,2.65,0.95,0.91,0.47,1.24,0.54,0.29,3.57,0.31,0.31,0.30,0.30,0.47,0.24,0.24,0.26,0.68,0.22,0.39,0.21,0.34,0.11,5.33,1.43,1.81
P/L Before Exceptional Items & Tax,"2,521.81","2,666.22","2,400.37","2,184.05","1,828.95","1,944.52","2,005.09","1,534.13","1,576.83","1,647.10","1,650.96","1,380.75","1,737.20","2,031.80","1,484.55",681.56,"1,615.86","1,671.18","1,609.69","1,473.89","1,533.32","1,558.38","1,651.89","1,520.24","1,593.18","1,381.51","1,517.21","1,185.88","1,122.74","1,285.27","1,559.54","1,365.38","1,333.62","1,339.09","1,506.16","1,278.58",259.74,244.64,-307.68
Exceptional Items,--,--,--,--,--,--,--,--,315.28,--,501.23,--,--,--,--,--,--,--,--,--,342.00,--,--,--,--,--,--,-32.00,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"2,521.81","2,666.22","2,400.37","2,184.05","1,828.95","1,944.52","2,005.09","1,534.13","1,892.11","1,647.10","2,152.19","1,380.75","1,737.20","2,031.80","1,484.55",681.56,"1,615.86","1,671.18","1,609.69","1,473.89","1,875.32","1,558.38","1,651.89","1,520.24","1,593.18","1,381.51","1,517.21","1,153.88","1,122.74","1,285.27","1,559.54","1,365.38","1,333.62","1,339.09","1,506.16","1,278.58",259.74,244.64,-307.68
Tax,594.32,633.60,563.97,539.91,455.37,471.82,483.78,370.80,428.00,358.68,377.59,321.54,407.42,476.50,346.86,153.63,410.94,409.68,206.49,453.11,570.27,457.22,500.17,500.32,513.84,430.90,405.53,364.20,321.82,361.15,437.77,387.33,384.43,368.63,453.97,410.62,59.99,82.38,64.66
P/L After Tax from Ordinary Activities,"1,927.49","2,032.62","1,836.40","1,644.14","1,373.58","1,472.70","1,521.31","1,163.33","1,464.11","1,288.42","1,774.60","1,059.21","1,329.78","1,555.30","1,137.69",527.93,"1,204.92","1,261.50","1,403.20","1,020.78","1,305.05","1,101.16","1,151.72","1,019.92","1,079.34",950.61,"1,111.68",789.68,800.92,924.12,"1,121.77",978.05,949.19,970.46,"1,052.19",867.96,199.75,162.26,-372.34
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.20,--,0.12
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-82.90,--,-51.18
