Quarterly Results of Bharti Airtel(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"37,599.10","37,899.50","37,043.80","37,440.00","36,009.00","34,526.80","32,804.60","31,500.30","29,866.60","28,326.40","28,326.40","26,853.60","25,747.30","26,517.80","25,785.00","23,938.70","23,722.70","21,947.10","21,131.30","20,737.90","20,602.20","20,519.20","20,147.80","19,799.20","19,634.30","20,318.60","21,776.90","21,958.10","21,934.60","23,335.70","24,651.50","25,546.50","24,959.60","24,065.90","23,835.70","23,670.90","23,015.50","23,217.10","22,845.20","22,961.60","22,219.30","21,938.50","21,324.40","20,263.90","20,448.40","20,239.50","20,273.20","19,350.10","18,729.40","18,476.70"
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.20,20.00,26.40,--,37.50,16.20,9.90,24.30,11.00,16.50,43.90,41.20,22.20,18.40,35.60,12.00,14.20,9.80,11.80,9.40,31.10
Total Income From Operations,"37,599.10","37,899.50","37,043.80","37,440.00","36,009.00","34,526.80","32,804.60","31,500.30","29,866.60","28,326.40","28,326.40","26,853.60","25,747.30","26,517.80","25,785.00","23,938.70","23,722.70","21,947.10","21,131.30","20,737.90","20,602.20","20,519.20","20,147.80","19,799.20","19,634.30","20,318.60","21,776.90","21,958.10","21,934.60","23,363.90","24,671.50","25,572.90","24,959.60","24,103.40","23,851.90","23,680.80","23,039.80","23,228.10","22,861.70","23,005.50","22,260.50","21,960.70","21,342.80","20,299.50","20,460.40","20,253.70","20,283.00","19,361.90","18,738.80","18,507.80"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,"1,363.90","1,323.00","1,379.00","1,257.20","1,263.40","1,208.60","1,123.50","1,164.20","1,133.60","1,101.00","1,101.00","1,034.50",998.90,"1,026.00","1,100.80","1,156.60","1,031.60",965.10,946.40,864.10,942.90,953.00,936.00,965.60,994.90,958.60,"1,008.90","1,014.70","1,049.80","1,063.20","1,085.80","1,114.40","1,240.40","1,217.50","1,246.00","1,206.80","1,188.10","1,165.30","1,190.90","1,168.00","1,151.70","1,157.90","1,220.60","1,092.60","1,084.80","1,021.10",984.60,919.30,871.70,850.50
Depreciation,"10,075.20","10,074.30","9,734.30","9,653.80","9,405.90","8,946.80","8,781.40","8,582.60","8,547.20","8,247.20","8,247.20","7,713.70","7,501.90","7,503.10","7,421.10","7,226.80","7,055.00","6,940.80","6,935.10","6,758.70","5,493.40","5,472.30","5,236.60","5,145.20","4,899.10","4,837.50","4,687.30","4,819.20","4,941.80","4,835.00","4,956.00","5,040.20","4,816.30","4,354.10","4,239.00","4,040.40","3,840.10","3,801.50","3,853.00","4,036.50","3,944.40","3,918.80","3,939.40","3,847.00","3,982.80","3,900.50","3,856.00","3,757.10","3,468.30","3,584.50"
