Quarterly Results of Hindustan Unilever(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,"15,041.00","15,294.00","15,364.00","15,267.00","14,953.00","15,343.00","14,896.00","14,357.00","13,490.00","13,223.00","13,046.00","12,004.00","12,240.00","11,989.00","11,520.00","10,572.00","9,078.00","9,978.00","9,957.00","10,225.00","10,047.00","9,612.00","9,385.00","9,640.00"
Other Operating Income,169.00,273.00,259.00,229.00,262.00,254.00,248.00,267.00,277.00,216.00,--,190.00,193.00,192.00,163.00,159.00,133.00,125.00,148.00,139.00,154.00,229.00,105.00,138.00
Total Income From Operations,"15,210.00","15,567.00","15,623.00","15,496.00","15,215.00","15,597.00","15,144.00","14,624.00","13,767.00","13,439.00","13,046.00","12,194.00","12,433.00","12,181.00","11,683.00","10,731.00","9,211.00","10,103.00","10,105.00","10,364.00","10,201.00","9,841.00","9,490.00","9,778.00"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"4,611.00","5,027.00","4,799.00","4,820.00","4,908.00","5,000.00","5,436.00","4,868.00","4,501.00","4,023.00","4,242.00","3,680.00","3,812.00","3,656.00","4,279.00","3,685.00","2,498.00","2,893.00","3,331.00","3,254.00","3,432.00","3,319.00","3,457.00","3,499.00"
Purchase of Traded Goods,"2,568.00","2,667.00","2,636.00","2,643.00","2,797.00","2,742.00","3,100.00","2,940.00","2,505.00","2,335.00","2,239.00","2,232.00","2,224.00","1,803.00","1,442.00","1,652.00","1,999.00","1,573.00","1,472.00","1,347.00","1,288.00","1,352.00","1,187.00",928.00
Increase/Decrease in Stocks,78.00,-215.00,-90.00,216.00,42.00,366.00,-339.00,-144.00,-50.00,55.00,-160.00,133.00,-142.00,139.00,-229.00,-173.00,-242.00,161.00,-192.00,165.00,130.00,-127.00,-83.00,92.00
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,832.00,706.00,766.00,705.00,738.00,722.00,758.00,636.00,579.00,692.00,620.00,654.00,555.00,591.00,588.00,624.00,386.00,487.00,462.00,485.00,432.00,501.00,472.00,470.00
Depreciation,320.00,313.00,297.00,286.00,291.00,293.00,272.00,281.00,278.00,272.00,281.00,260.00,266.00,286.00,265.00,257.00,271.00,248.00,254.00,229.00,144.00,143.00,140.00,138.00
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,"1,616.00","1,626.00","1,742.00","1,505.00","1,311.00","1,209.00","1,053.00","1,334.00","1,296.00","1,193.00","1,226.00","1,029.00","1,418.00","1,392.00","1,144.00",800.00,"1,175.00","1,171.00","1,200.00","1,167.00","1,118.00","1,207.00","1,121.00","1,161.00"
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"1,970.00","2,090.00","1,973.00","1,942.00","1,845.00","1,864.00","1,657.00","1,588.00","1,635.00","1,732.00","1,653.00","1,545.00","1,524.00","1,637.00","1,534.00","1,448.00","1,295.00","1,289.00","1,324.00","1,222.00","1,407.00","1,496.00","1,262.00","1,309.00"
"P/L Before Other Inc., Int., Excpt. Items & Tax","3,215.00","3,353.00","3,500.00","3,379.00","3,283.00","3,401.00","3,207.00","3,121.00","3,023.00","3,137.00","2,945.00","2,661.00","2,776.00","2,677.00","2,660.00","2,438.00","1,829.00","2,281.00","2,254.00","2,495.00","2,250.00","1,950.00","1,934.00","2,181.00"
