Quarterly Results of State Bank of India(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,"79,609.58","75,881.34","72,535.36","69,283.87","65,703.50","60,776.78","54,155.19","48,105.28","46,139.82","45,219.27","43,643.51","42,472.23","41,256.67","45,123.30","44,688.82","45,711.40","44,170.77","49,570.01","46,575.64","45,177.78","43,863.23","42,868.52","39,475.93","39,916.90","35,150.82","36,150.28","36,707.51","36,949.98","38,287.52","38,857.13","39,656.09","39,989.74","39,351.97","39,204.21","39,405.42","39,040.15","38,519.93","38,905.91","38,282.96","37,435.79","37,016.20","36,273.85","34,940.64","33,151.91","32,201.63","31,908.57","31,437.29","30,894.69","30,517.22","28,858.92"
(b) Income on Investment,"31,815.84","31,881.75","30,525.40","28,155.20","28,225.63","27,374.13","26,391.65","24,833.44","24,112.98","23,779.96","23,235.88","22,349.08","22,157.22","22,376.19","22,113.61","20,483.60","18,873.16","18,952.34","18,399.94","18,587.43","19,454.41","20,354.02","20,541.11","19,893.97","19,581.76","19,344.58","18,446.47","17,663.81","17,494.48","16,772.61","15,308.04","14,626.24","14,676.05","14,598.56","14,515.91","13,392.85","13,529.16","12,941.90","12,540.67","11,990.29","11,442.70","11,524.08","11,414.56","10,474.34","10,027.81","9,926.43","9,590.22","9,158.77","8,859.07","8,871.73"
(c) Int. on balances With RBI,"1,454.55","1,550.95","1,457.04","1,479.26",985.55,856.25,826.21,"1,248.45",987.97,"1,244.55","1,272.76","1,103.07","1,433.74",710.65,560.69,"1,836.35",989.20,777.15,877.81,422.09,420.20,362.46,261.11,280.99,296.62,319.29,811.52,983.32,"1,273.83",701.54,300.40,315.80,182.62,243.91,374.54,350.10,292.16,309.82,265.46,292.50,279.22,326.37,258.38,280.74,421.56,227.08,328.05,362.01,157.41,217.97
(d) Others,"4,589.41","3,554.30","2,872.98","2,541.68","3,168.51","2,510.50","3,089.82","2,593.69","3,366.80","3,132.26","4,876.98","3,035.57","3,185.03","1,889.65","2,679.94","1,908.62","1,842.35","1,726.02","1,502.85","1,407.12","2,046.69","1,325.26","1,148.70","1,108.64","3,180.59","1,199.93",962.39,"1,221.41","3,449.91","1,407.51","1,023.34",983.31,"2,664.05","1,040.58","1,075.83",963.11,"1,834.06",267.92,242.64,323.17,701.21,243.19,333.18,401.86,629.13,360.53,292.78,211.59,385.51,210.88
Other Income,"47,444.98","40,203.30","36,865.34","30,872.77","38,769.20","35,701.31","30,319.61","17,743.44","33,427.11","31,152.18","28,114.12","24,306.99","35,397.98","27,082.36","25,330.44","18,044.36","28,343.34","24,358.76","21,991.67","17,891.59","25,790.11","19,439.85","17,875.87","13,792.91","23,365.59","17,176.77","18,020.63","13,958.04","20,264.26","17,798.43","16,630.54","13,499.73","19,081.68","12,506.63","11,214.15","9,418.29","16,789.98","12,179.07","9,766.94","10,579.18","13,242.15","10,274.67","6,171.87","8,193.44","9,580.61","8,519.53","8,269.13","6,212.42","13,582.52","4,996.45"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,"70,644.02","68,091.94","62,955.15","58,044.94","53,451.48","49,386.99","45,232.19","41,931.16","39,943.86","39,363.25","38,638.14","38,249.09","38,388.82","38,296.80","39,023.23","40,301.32","40,392.44","40,486.95","40,105.10","40,139.31","40,437.31","39,889.14","38,268.74","37,272.27","36,237.93","36,393.41","36,476.23","37,495.41","37,862.41","38,079.43","36,806.09","36,366.74","36,425.83","35,974.59","35,675.04","34,971.90","34,303.60","33,770.84","33,084.39","32,019.81","31,793.84","31,170.68","30,186.51","28,328.01","27,976.74","27,035.06","26,493.29","25,312.82","24,195.70","22,942.44"
Employees Cost,"17,760.41","20,775.87","20,225.72","17,809.19","18,878.84","15,939.35","13,965.39","13,137.33","13,602.95","13,471.55","13,537.20","13,415.04","14,240.12","14,028.34","13,404.15","12,658.22","12,935.17","12,255.18","12,052.37","11,608.23","11,235.95","11,866.06","10,346.80","10,346.20","9,845.83","9,121.39","8,226.22","8,217.18","9,346.21","9,398.43","8,750.55","8,196.02","8,888.19","8,042.42","7,888.44","7,706.55","8,551.60","7,764.02","7,364.20","7,437.79","7,194.30","7,748.15","7,652.91","7,273.00","7,349.08","5,813.36","5,728.38","5,510.27","6,887.41","5,136.47"
Other Expenses,"45,266.54","40,413.75","38,371.92","28,170.44","37,291.97","34,340.93","31,811.45","24,428.22","32,521.00","31,101.83","28,522.92","20,772.55","29,623.64","25,439.97","24,418.31","16,616.85","23,156.00","22,464.09","20,705.56","16,604.96","21,733.06","18,398.96","16,932.83","13,940.45","18,739.17","15,825.29","14,532.49","11,646.80","15,867.86","12,888.80","12,539.37","10,302.83","13,092.11","10,842.59","9,533.04","8,153.31","12,566.64","11,056.52","9,488.53","9,618.71","10,423.00","9,844.47","6,660.63","6,572.28","7,758.98","7,597.30","7,888.37","5,174.06","10,279.00","5,107.73"
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,"31,243.39","23,790.08","22,703.33","28,308.21","27,230.10","27,551.70","23,773.45","15,027.59","21,966.87","20,591.59","20,444.99","20,830.26","21,178.06","19,417.04","18,527.81","18,407.94","17,735.21","20,178.06","16,484.88","15,133.51","18,168.32","14,195.95","13,754.35","13,434.49","16,752.45","12,850.76","15,713.58","13,417.17","17,693.52","15,170.56","14,822.40","14,549.23","17,550.24","12,734.29","13,489.33","12,332.74","15,543.45","12,013.24","11,161.55","11,544.62","13,270.34","9,878.86","8,618.58","10,329.00","9,775.94","10,496.42","9,807.43","10,842.33","12,139.62","9,969.31"
Provisions And Contingencies,"2,391.53","1,445.25",767.62,"3,100.57","3,794.53","6,196.30","3,430.97","4,762.48","8,109.18","7,441.83",615.44,"10,510.24","11,516.71","10,801.67","11,221.02","12,562.76","14,021.61","7,677.85","13,640.53","9,448.71","16,673.43","6,355.98","12,270.49","19,499.21","28,534.09","19,097.52","19,332.24","9,051.23","21,069.64","12,077.66","15,013.07","13,130.51","16,393.57","10,499.67","5,742.10","5,294.48","7,700.98","6,490.77","5,661.90","4,554.64","7,051.53","5,243.02","4,403.83","4,072.86","5,353.29","3,534.96","2,805.90","3,346.16","3,517.90","3,407.29"
Exceptional Items,--,"-7,100.00",--,--,--,--,--,--,--,--,"-7,418.39",--,--,--,--,"1,367.27","2,590.59",--,"3,190.97",--,--,--,466.48,--,--,--,"5,036.21",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"28,851.86","15,244.83","21,935.71","25,207.64","23,435.57","21,355.40","20,342.48","10,265.11","13,857.69","13,149.76","12,411.16","10,320.02","9,661.35","8,615.37","7,306.79","7,212.45","6,304.19","12,500.21","6,035.32","5,684.80","1,494.89","7,839.97","1,950.34","-6,064.72","-11,781.64","-6,246.76","1,417.55","4,365.94","-3,376.12","3,092.90",-190.67,"1,418.72","1,156.67","2,234.62","7,747.23","7,038.26","7,842.47","5,522.47","5,499.65","6,989.98","6,218.81","4,635.84","4,214.75","6,256.14","4,422.65","6,961.46","7,001.53","7,496.17","8,621.72","6,562.02"
