Quarterly Results of The Tata Power Company(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"15,846.58","14,651.00","15,738.03","15,213.29","12,453.76","14,129.12","14,030.72","14,495.48","11,959.96","10,913.14","9,810.22","9,968.03","10,127.39","7,597.91","8,289.81","6,452.99","6,620.80","7,071.03","7,677.82","7,766.72","7,230.24","7,706.71","7,353.41","7,313.41","7,895.23","6,949.91","7,601.07","6,968.62","7,166.79","6,574.47","7,190.54","6,806.53","7,297.74","7,312.88","7,618.35","7,168.23","8,167.10","8,754.08","8,364.30","8,738.90","8,805.19","8,656.11","8,717.11","9,291.77","8,997.31","8,991.68","7,649.49","7,197.57","7,169.85","6,645.87"
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.35,31.77,--,40.27,47.98,15.44,72.53,52.47,29.99,26.75,39.31,43.91,47.58,47.72,35.15,47.63,50.28,56.32,64.91,14.00
Total Income From Operations,"15,846.58","14,651.00","15,738.03","15,213.29","12,453.76","14,129.12","14,030.72","14,495.48","11,959.96","10,913.14","9,810.22","9,968.03","10,127.39","7,597.91","8,289.81","6,452.99","6,620.80","7,071.03","7,677.82","7,766.72","7,230.24","7,706.71","7,353.41","7,313.41","7,895.23","6,949.91","7,601.07","6,968.62","7,166.79","6,574.47","7,208.89","6,838.30","7,297.74","7,353.15","7,666.33","7,183.67","8,239.63","8,806.55","8,394.29","8,765.65","8,844.50","8,700.02","8,764.69","9,339.49","9,032.46","9,039.31","7,699.77","7,253.89","7,234.76","6,659.87"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"1,771.13","1,661.18","1,017.45",990.10,"1,379.18",895.64,650.17,957.31,"1,720.64",969.06,530.18,612.95,"2,773.44","1,802.25",334.68,91.54,208.55,212.16,375.66,160.81,26.55,364.37,317.86,210.57,401.16,100.73,151.23,95.85,378.70,250.79,417.07,325.94,305.04,312.77,290.75,228.05,215.83,126.23,145.06,210.72,382.35,174.26,123.09,116.02,154.48,112.87,74.73,44.66,70.32,106.92
Purchase of Traded Goods,13.42,5.65,11.07,9.75,13.53,8.22,10.30,24.10,16.58,18.58,5.89,8.06,--,--,7.42,4.25,35.57,8.07,25.13,42.97,65.49,149.61,30.95,99.17,156.72,16.65,3.32,4.99,9.61,2.32,7.73,6.74,10.16,7.19,4.93,7.32,8.40,9.45,8.12,5.13,9.27,10.17,9.70,14.56,"2,174.99",7.15,9.26,11.77,19.17,15.83
Increase/Decrease in Stocks,411.23,-305.29,-70.00,-87.72,118.40,22.29,-93.11,-4.05,-137.03,-41.57,-36.56,15.94,27.24,-35.81,7.44,1.54,1.15,-11.25,-6.95,1.41,62.05,13.31,-77.06,26.07,2.96,94.68,-96.82,-9.33,3.35,43.63,-240.34,-141.13,24.52,7.25,1.90,0.49,11.16,148.67,-14.75,-24.36,68.62,136.87,-129.44,54.72,93.14,-115.71,-252.37,-0.18,118.29,-155.40
Power & Fuel,--,--,--,--,--,"8,170.08",--,--,"5,947.10","6,120.58",--,--,"2,311.86","2,250.16",--,"3,616.84","3,714.18","4,074.09","4,049.90","4,304.68","4,718.15","4,636.08","4,359.24","4,286.08","4,711.45","4,562.15","4,719.28","4,021.21","4,281.32","3,980.80","4,574.39","4,074.87","4,375.64","4,102.48","4,444.95","4,165.52","3,458.10","4,409.81","4,217.20","4,505.22","4,093.92","3,942.25","4,473.64","4,781.93","2,422.43","4,895.53","4,225.36","3,771.24","3,511.66","1,757.41"
Employees Cost,"1,084.50",981.55,994.90,975.14,851.19,917.17,916.38,939.52,959.43,970.21,802.03,736.35,707.81,483.47,559.95,405.25,365.60,367.77,359.59,347.68,324.48,339.24,341.26,334.07,347.25,338.62,378.09,333.52,381.92,285.90,307.08,311.57,315.97,298.28,308.44,304.82,428.03,367.60,379.26,370.78,388.76,323.03,307.40,330.16,334.18,333.66,345.32,309.79,290.09,310.44
Depreciation,"1,040.77",926.27,925.89,893.44,926.30,853.26,837.63,822.01,845.71,758.12,771.17,747.20,663.28,738.29,698.88,644.49,687.30,671.87,654.44,619.95,603.45,602.74,596.97,600.61,645.36,597.22,579.30,585.68,569.84,524.09,447.64,439.31,440.99,411.73,398.26,397.75,553.74,542.06,535.88,542.53,724.23,665.54,689.05,650.80,416.37,587.31,542.04,505.97,409.29,346.85
