Quarterly Results of Adani Power(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"10,140.11","10,216.60","10,336.98","8,510.88","9,506.53","7,635.49","6,926.64","12,612.55","10,597.78",93.95,17.59,25.74,346.33,54.51,18.91,27.42,531.31,425.52,16.59,31.90,30.28,116.15,"1,793.55",464.22,58.87,"2,183.47","3,398.89","2,682.07","3,165.46","2,886.56","2,827.85","2,866.64","3,802.44","3,065.77","2,939.58","3,054.27","2,490.32","3,043.53","2,406.51","2,999.38","4,379.93","2,499.62","2,014.44","2,107.81","1,745.66","1,687.11","1,433.10","1,462.54",998.34,"1,059.45"
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.85,5.81,6.15,--,4.48,3.77,4.96,3.18,3.09,2.02,2.16,1.99,2.05,2.34,1.87,1.22,1.07,1.01,1.27,--,--
Total Income From Operations,"10,140.11","10,216.60","10,336.98","8,510.88","9,506.53","7,635.49","6,926.64","12,612.55","10,597.78",93.95,17.59,25.74,346.33,54.51,18.91,27.42,531.31,425.52,16.59,31.90,30.28,116.15,"1,793.55",464.22,58.87,"2,183.47","3,398.89","2,682.07","3,165.46","2,891.41","2,833.66","2,872.79","3,802.44","3,070.25","2,943.35","3,059.23","2,493.50","3,046.62","2,408.53","3,001.54","4,381.92","2,501.67","2,016.78","2,109.68","1,746.88","1,688.18","1,434.11","1,463.81",998.34,"1,059.45"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,"6,071.72","4,857.12",--,--,--,--,--,--,--,0.29,--,--,--,--,--,--,--,0.30,0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,28.42,87.19,75.42,23.48,57.57,27.83,69.32,54.86,421.64,88.41,--,--,311.11,40.34,--,--,507.88,400.22,--,--,--,45.04,"1,643.20",529.35,25.71,450.59,306.89,500.47,489.07,346.24,182.98,247.97,501.31,313.60,325.61,225.93,190.48,179.15,192.57,66.43,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,18.43,-18.43,--,--,10.06,-10.06,--,--,--,--,--,--,--,41.86,125.64,-97.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,"6,123.62",--,--,"5,373.60","7,146.42","5,447.20","5,137.61","6,820.75","4,117.59",0.27,--,0.26,0.23,0.25,0.32,0.06,0.22,0.27,--,--,0.30,0.26,0.05,0.51,0.19,"1,713.71","1,712.75","1,536.61","2,141.65","1,866.05","1,671.50","1,511.52","1,685.88","1,694.55","1,667.74","1,770.28","1,311.10","1,794.96","1,242.92","1,834.65","1,647.95","1,652.92","1,365.44","1,489.47","1,226.33","1,211.08","1,083.30","1,422.37",759.25,736.37
Employees Cost,166.06,129.91,128.45,129.77,136.22,131.78,134.45,127.91,129.55,7.66,8.40,7.29,7.33,7.48,6.53,11.54,11.17,9.57,10.05,10.82,9.11,10.14,10.26,11.01,8.10,40.09,36.23,52.87,43.55,41.69,47.22,49.20,35.88,44.67,56.56,52.17,56.13,49.89,49.42,40.94,50.91,38.43,42.23,33.60,33.05,34.20,40.02,30.12,14.88,13.74
depreciat,789.58,797.35,801.48,787.31,774.75,794.95,790.90,782.19,773.55,7.59,7.62,7.64,7.73,8.04,8.34,8.35,8.40,8.58,8.86,8.93,9.12,9.55,9.68,9.71,9.76,282.74,289.21,278.96,396.24,244.26,240.91,239.31,408.90,257.64,238.12,232.61,-63.80,323.97,374.57,363.27,344.33,361.42,370.85,354.25,339.89,314.93,252.81,230.82,185.14,157.04
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,641.60,460.64,628.93,458.28,555.50,420.84,560.71,533.25,663.86,3.55,4.44,4.35,5.96,5.85,6.82,4.25,33.00,12.49,16.10,31.31,24.00,71.06,6.40,18.47,13.75,404.17,263.91,253.94,285.35,259.25,264.24,313.06,261.31,214.08,203.01,296.38,337.89,294.62,260.99,304.76,320.08,277.86,267.72,284.05,110.86,207.19,6.34,131.01,128.55,97.30
"P/L Before Other Inc. , Int., Excpt. Items & Tax","2,390.83","2,669.79","3,845.58","1,738.44",836.07,812.89,233.65,"4,293.59","4,473.16",4.90,-3.16,6.20,3.91,2.61,-3.10,3.22,-29.36,-5.61,-18.72,-19.49,-12.25,-61.76,-1.68,-7.67,1.36,-707.83,789.90,59.22,-190.40,133.92,426.81,511.73,909.16,545.71,452.31,481.86,661.70,404.03,288.06,391.49,"2,018.65",171.04,-29.46,-51.69,36.75,-79.22,51.64,-350.51,-89.48,55.00
Other Income,591.76,431.08,"2,033.09","7,135.92",622.16,559.82,"1,493.58","1,844.42","2,750.30",125.85,114.08,108.61,-184.68,98.57,114.60,105.88,216.48,255.21,245.38,193.77,233.28,216.49,375.94,271.46,64.27,72.41,61.48,136.63,230.00,172.56,194.30,138.36,131.50,124.98,134.99,131.27,98.78,103.56,99.99,105.60,156.12,162.10,152.36,119.55,145.38,140.82,134.27,114.64,113.71,2.13
"P/L Before Int., Excpt. Items & Tax","2,982.59","3,100.87","5,878.67","8,874.36","1,458.23","1,372.71","1,727.23","6,138.01","7,223.46",130.75,110.92,114.81,-180.77,101.18,111.50,109.10,187.12,249.60,226.66,174.28,221.03,154.73,374.26,263.79,65.63,-635.42,851.38,195.85,39.60,306.48,621.11,650.09,"1,040.66",670.69,587.30,613.13,760.48,507.59,388.05,497.09,"2,174.77",333.14,122.90,67.86,182.13,61.60,185.91,-235.87,24.23,57.13
Interest,571.82,536.48,616.30,741.30,757.32,928.38,793.50,827.60,987.53,178.12,167.91,160.94,170.26,159.85,155.60,158.31,266.14,316.26,304.98,287.85,283.85,275.41,375.57,304.21,94.63,606.86,594.88,711.70,821.49,784.84,756.60,738.63,741.03,700.93,775.81,733.41,554.14,677.88,819.54,676.81,707.00,628.25,930.06,898.71,486.35,525.98,240.17,486.68,252.37,138.66
P/L Before Exceptional Items & Tax,"2,410.77","2,564.39","5,262.37","8,133.06",700.91,444.33,933.73,"5,310.41","6,235.93",-47.37,-56.99,-46.13,-351.03,-58.67,-44.10,-49.21,-79.02,-66.66,-78.32,-113.57,-62.82,-120.68,-1.31,-40.42,-29.00,"-1,242.28",256.50,-515.85,-781.89,-478.36,-135.49,-88.54,299.63,-30.24,-188.51,-120.28,206.34,-170.29,-431.49,-179.72,"1,467.77",-295.11,-807.16,-830.85,-304.22,-464.38,-54.26,-722.55,-228.14,-81.53
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.20,"-1,004.19",--,--,--,--,-527.15,"2,034.00",--,--,"-3,907.94",--,--,--,--,--,--,--,211.87,224.05,--,--,--,--,--,--,--,51.70,--,--,59.74,-204.67
