Quarterly Results of ITC(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"17,752.87","16,314.20","16,393.74","15,675.64","16,115.90","16,082.40","15,941.53","17,133.05","15,331.48","15,689.29","12,533.60","12,142.43","13,161.11","11,698.60","11,098.24","8,845.18","10,722.29","11,704.79","11,750.16","11,361.35","11,850.23","11,136.55","10,891.23","10,554.66","10,479.24","9,672.57","9,676.20","9,876.45","11,125.54","9,248.39","9,535.47","9,957.66","10,062.38","8,792.99","8,699.36","9,077.85","9,188.25","8,800.22","8,930.32","9,164.42","9,145.14","8,623.11","7,775.79","7,338.52","8,180.30","7,627.07","7,146.00","6,652.21","6,861.35","6,195.43"
Other Operating Income,--,169.05,156.33,152.56,282.08,143.33,188.38,156.60,199.37,173.03,197.37,74.70,133.55,88.77,84.84,66.14,119.99,100.85,121.31,141.47,141.88,91.11,177.62,152.37,107.49,99.45,87.72,78.21,--,--,125.24,96.38,106.35,74.07,99.53,82.17,104.53,142.37,93.42,83.87,93.38,103.74,86.74,72.18,77.10,85.03,80.58,60.86,93.29,52.41
Total Income From Operations,"17,752.87","16,483.25","16,550.07","15,828.20","16,397.98","16,225.73","16,129.91","17,289.65","15,530.85","15,862.32","12,730.97","12,217.13","13,294.66","11,787.37","11,183.08","8,911.32","10,842.28","11,805.64","11,871.47","11,502.82","11,992.11","11,227.66","11,068.85","10,707.03","10,586.73","9,772.02","9,763.92","9,954.66","11,125.54","9,248.39","9,660.71","10,054.04","10,168.73","8,867.06","8,798.89","9,160.02","9,292.78","8,942.59","9,023.74","9,248.29","9,238.52","8,726.85","7,862.53","7,410.70","8,257.40","7,712.10","7,226.58","6,713.07","6,954.64","6,247.84"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"5,392.67","5,617.03","5,371.34","4,928.80","4,978.38","4,986.28","5,076.57","4,768.60","4,184.62","4,124.05","3,931.76","3,824.07","3,580.40","3,312.46","3,467.25","3,048.44","3,254.23","3,360.82","3,408.42","3,098.29","3,335.33","3,414.82","3,381.90","3,052.92","3,061.40","2,941.91","2,858.00","2,894.90","2,972.84","2,912.58","3,000.10","2,880.04","3,033.84","2,760.36","2,691.47","2,569.08","2,803.44","2,731.05","2,792.72","2,660.62","2,707.89","2,796.67","2,570.45","2,188.27","2,414.05","2,374.48","2,079.41","2,068.27","1,894.19","1,927.71"
Purchase of Traded Goods,"1,329.04","1,593.31","1,285.08","1,835.54","1,786.40","1,386.36","1,020.46","4,916.63","2,996.06","3,467.82","1,927.92","2,342.68","2,424.74","1,602.97","1,149.93","1,676.61",987.26,743.90,742.32,"1,816.23","1,331.28",838.57,876.09,"1,254.38",927.93,498.90,558.82,990.89,"1,195.73",864.89,501.11,"1,004.84",819.82,705.40,438.01,629.02,759.37,579.50,638.99,"1,920.80","1,011.38",603.22,541.50,865.37,868.46,646.52,"1,103.03",757.91,597.49,318.08
Increase/Decrease in Stocks,-68.77,-360.96,407.82,-348.80,29.36,298.59,840.97,"-1,208.42",99.21,128.50,-413.52,-380.65,71.02,97.62,119.77,-778.13,-174.43,441.77,330.98,-774.66,-51.02,47.12,21.68,-197.92,11.87,140.22,939.55,-49.79,514.23,-400.90,170.14,360.70,125.98,-437.69,-16.00,543.19,98.87,167.01,123.45,-603.86,150.35,39.49,-133.57,-184.68,265.27,56.00,-318.06,-249.58,312.40,-73.33
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,969.39,949.83,909.22,903.79,893.98,876.97,936.41,862.10,809.54,765.16,753.19,734.10,735.56,720.08,661.03,696.92,666.53,669.11,632.26,690.31,759.99,629.17,596.31,742.97,611.27,595.02,606.54,674.63,571.36,572.31,600.33,700.31,465.35,571.37,578.05,627.46,454.39,419.12,397.87,508.66,410.81,400.82,369.87,426.87,343.40,346.22,289.24,412.45,332.27,298.10
depreciat,415.36,416.75,413.22,402.49,421.94,407.24,422.02,411.53,445.92,409.29,401.46,395.48,387.97,390.92,382.50,398.18,392.50,416.21,395.67,358.89,350.18,335.36,327.47,298.69,303.99,290.75,282.42,268.21,241.81,266.54,268.44,261.25,254.89,261.87,258.20,257.61,249.57,237.63,243.22,231.32,237.83,225.92,220.87,215.30,206.69,205.22,188.86,194.79,188.04,173.89
