Quarterly Results of Mahindra and Mahindra(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"25,436.05","25,642.36","25,772.68","24,368.33","22,571.37","21,653.74","20,839.27","19,612.64","17,123.98","15,238.82","13,305.37","11,762.78","13,512.44","14,215.90","11,710.46","5,602.18","9,143.72","12,345.29","11,076.05","12,922.72","14,035.16","13,070.36","12,988.57","13,519.91","13,307.88","11,577.78","12,182.07","11,575.71","11,125.15","10,860.05","10,411.67","10,898.08","10,765.77","10,896.40","9,152.28","9,706.63","9,411.52","9,465.94","9,418.10","10,096.05","10,837.89","10,404.91","8,814.33","9,906.23","10,353.38","10,642.60","9,659.20","9,247.94","9,241.28","8,327.20"
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,150.29,197.41,142.71,--,107.90,123.78,122.32,145.49,116.84,125.63,165.85,162.84,150.77,115.24,116.29,133.15,131.68,153.76,119.45,145.89,59.61
Total Income From Operations,"25,436.05","25,642.36","25,772.68","24,368.33","22,571.37","21,653.74","20,839.27","19,612.64","17,123.98","15,238.82","13,305.37","11,762.78","13,512.44","14,215.90","11,710.46","5,602.18","9,143.72","12,345.29","11,076.05","12,922.72","14,035.16","13,070.36","12,988.57","13,519.91","13,307.88","11,577.78","12,182.07","11,575.71","11,125.15","11,010.34","10,609.08","11,040.79","10,765.77","11,004.30","9,276.06","9,828.95","9,557.01","9,582.78","9,543.73","10,261.90","11,000.73","10,555.68","8,929.57","10,022.52","10,486.53","10,774.28","9,812.96","9,367.39","9,387.17","8,386.81"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"18,327.63","17,803.00","18,807.42","16,615.35","16,758.46","14,790.54","16,366.59","14,090.96","12,081.73","9,590.51","10,034.71","8,799.20","8,725.47","7,725.92","6,472.04","2,112.46","4,689.07","5,633.63","6,091.12","6,459.92","7,413.26","6,055.53","6,901.59","6,724.69","6,249.79","5,158.70","5,855.52","5,947.02","5,223.88","5,239.38","5,347.47","5,110.17","4,480.24","4,699.79","4,910.88","5,273.95","4,810.82","4,700.34","5,314.04","5,447.28","5,720.55","5,455.02","5,117.25","5,337.26","5,365.33","5,308.75","5,285.07","4,790.72","5,143.56","4,579.22"
Purchase of Traded Goods,999.54,958.61,"1,076.66",992.67,870.05,886.52,875.98,778.06,709.24,654.74,730.34,280.50,"2,167.42","2,302.65","1,840.93",506.12,"1,749.07","2,167.13","2,046.83","2,386.33","3,204.48","2,618.34","3,111.99","3,176.80","3,009.87","2,484.51","2,750.12","2,429.96","3,064.30","2,267.91","2,605.11","2,948.54","3,585.80","2,722.60","2,199.91","1,900.97","1,966.90","1,656.66","1,825.18","1,910.63","2,591.94","1,860.53","1,760.34","1,864.11","2,486.82","2,457.02","2,537.80","2,271.04","2,131.28","1,555.10"
Increase/Decrease in Stocks,-880.93,304.38,"-1,504.83",506.87,-706.59,770.00,"-1,293.59",154.93,284.52,"1,147.87","-1,084.28",-887.51,"-1,202.91",14.00,-220.66,"1,169.57",-290.98,848.48,-460.87,312.86,-580.91,733.06,-757.47,-344.87,-23.27,387.37,-196.93,43.33,-71.03,451.30,-354.44,-29.85,-150.23,549.77,-466.78,-190.72,83.29,522.77,-301.12,18.69,-181.03,291.48,-495.05,109.93,-5.66,413.29,-468.53,-26.41,-185.43,101.05
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,"1,111.18","1,134.27","1,126.24","1,044.73",949.02,934.22,912.85,836.22,746.13,879.02,796.53,885.52,723.55,756.05,701.16,678.04,617.80,759.38,718.78,784.12,709.35,777.52,741.80,751.55,706.26,722.79,705.17,693.79,601.66,685.52,657.75,650.44,511.03,638.92,588.95,609.82,555.91,609.48,568.73,582.81,614.67,548.33,502.37,498.35,442.40,498.15,474.30,451.60,429.38,449.68
depreciat,977.01,817.87,815.83,828.14,838.51,829.16,775.58,680.63,680.48,631.24,580.66,558.60,558.73,571.39,554.48,548.39,583.62,553.73,539.90,545.38,532.52,473.52,461.39,392.97,399.32,369.28,363.27,343.87,342.50,338.90,334.03,311.73,320.62,285.09,238.96,223.43,244.31,234.35,248.29,247.95,290.89,194.81,197.01,180.63,198.60,178.98,178.39,154.84,199.73,140.82
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,-58.71,-42.83,--,--,--,--,-24.06,-31.42,-38.24,--,--,--,-51.86,-49.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"2,432.77","1,851.83","1,870.34","1,661.32","1,903.07","1,458.25","1,539.80","1,454.27","1,356.82","1,160.86","1,168.23","1,053.41","1,333.65","1,170.90","1,065.40",586.83,"1,243.94","1,287.15","1,341.07","1,406.69","1,643.23","1,368.69","1,385.71","1,340.10","1,611.03","1,329.08","1,338.93","1,195.05","1,367.88","1,066.88","1,120.07","1,075.95","1,263.22","1,113.11","1,034.88",990.40,"1,239.58","1,099.29","1,127.69","1,033.02","1,348.03","1,018.06",899.72,925.43,927.96,885.80,865.40,771.01,899.02,680.92
