Quarterly Results of Maruti Suzuki India(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"36,697.50","31,860.00","35,535.10","30,845.20","30,821.80","27,849.20","28,543.50","25,286.30","25,514.00","22,187.60","19,297.80","17,770.70","22,958.60","22,236.70","17,689.30","3,677.50","17,185.70","19,649.10","16,120.40","18,735.20","20,737.50","18,926.40","21,551.90","21,810.70","20,594.30","18,940.00","21,438.10","17,132.40","18,005.20","16,623.60","17,594.60","14,654.50","14,964.70","14,784.40","15,438.50","13,078.30","13,272.55","12,263.14","11,996.33","11,073.51","11,818.13","10,619.68","10,211.83","9,995.12","13,056.26","10,956.95","8,070.11","10,529.24","11,486.36","7,717.87"
Other Operating Income,"1,537.40","1,448.70","1,527.00","1,481.70","1,226.20","1,195.10","1,387.30","1,213.50","1,226.00","1,058.40","1,241.10",--,"1,065.10","1,221.10","1,055.20",429.00,"1,013.00","1,057.70",864.90,984.60,721.90,741.90,881.30,648.70,571.30,343.20,330.10,413.30,328.20,241.20,248.20,272.80,279.10,228.80,261.20,298.60,352.29,312.63,307.45,296.13,283.26,274.16,256.23,242.22,247.75,243.39,235.32,248.91,240.65,164.53
Total Income From Operations,"38,234.90","33,308.70","37,062.10","32,326.90","32,048.00","29,044.30","29,930.80","26,499.80","26,740.00","23,246.00","20,538.90","17,770.70","24,023.70","23,457.80","18,744.50","4,106.50","18,198.70","20,706.80","16,985.30","19,719.80","21,459.40","19,668.30","22,433.20","22,459.40","21,165.60","19,283.20","21,768.20","17,545.70","18,333.40","16,864.80","17,842.80","14,927.30","15,243.80","15,013.20","15,699.70","13,376.90","13,624.84","12,575.77","12,303.78","11,369.64","12,101.39","10,893.84","10,468.06","10,237.34","13,304.01","11,200.34","8,305.43","10,778.15","11,727.01","7,882.40"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"12,104.50","11,095.00","12,257.10","10,483.10","10,981.70","10,212.50","13,238.10","12,237.70","11,937.20","10,042.50","9,215.80","8,543.20","12,066.20","11,043.10","8,862.30","1,325.30","8,313.60","8,410.60","8,371.00","9,541.40","9,673.70","10,802.40","12,544.50","12,003.30","11,929.80","10,649.40","11,863.80","10,498.30","11,617.70","10,926.60","10,951.90","9,042.00","9,408.70","8,614.30","9,260.10","8,151.00","8,642.12","7,887.46","8,566.99","7,702.09","8,066.32","7,020.36","6,896.79","6,876.21","8,225.73","8,376.04","5,865.41","8,063.04","8,874.10","5,995.31"
Purchase of Traded Goods,"14,709.90","12,524.80","14,727.00","13,148.20","12,541.00","11,078.30","8,796.40","7,561.50","7,871.00","7,078.30","6,502.30","4,938.90","6,050.50","5,754.20","4,514.40",928.10,"4,771.50","5,675.00","4,405.50","4,744.60","4,847.70","3,212.60","3,520.90","3,438.30","3,083.00","2,436.40","2,327.10","2,146.50","1,678.60",991.70,931.50,880.30,866.10,792.00,834.30,714.30,684.20,655.42,695.31,630.26,651.63,617.62,598.09,564.07,440.35,566.84,493.57,460.49,412.54,366.48
Increase/Decrease in Stocks,474.00,-2.20,-815.10,-99.60,-35.30,-185.00,-154.40,-29.00,-141.50,382.30,-141.10,-191.60,-365.80,218.30,-262.40,683.00,-293.70,927.40,-677.10,-194.70,902.20,28.70,-780.50,60.40,-636.50,246.50,787.10,-356.40,-529.40,-244.50,190.70,203.10,-206.10,886.90,-822.70,148.70,-103.57,283.19,-487.44,-148.04,160.30,163.40,-230.52,-74.67,63.45,-158.73,251.97,-133.26,46.17,-118.53
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,"1,366.20","1,338.60","1,312.70","1,460.90","1,113.00","1,201.00","1,132.70","1,158.40","1,025.80",969.90,962.20,"1,064.30",900.30,945.50,826.80,730.30,819.40,867.00,838.40,859.10,816.90,881.10,791.70,765.20,828.20,686.90,666.60,652.10,616.00,616.90,519.10,579.00,597.80,502.10,411.20,467.70,508.20,375.02,369.82,353.51,401.01,299.66,372.33,295.11,387.45,241.23,235.22,238.26,255.98,209.02
depreciat,729.00,751.70,794.10,747.50,739.20,710.10,722.60,651.40,647.20,640.00,756.10,743.20,741.00,741.30,765.90,783.30,823.00,858.00,926.10,918.60,810.20,767.70,721.20,719.80,702.50,689.00,682.50,683.90,701.00,634.90,630.00,638.90,759.90,722.10,669.40,671.60,660.00,627.84,598.85,583.64,563.69,541.38,499.17,480.16,815.89,358.33,347.04,339.91,330.57,298.93
