Quarterly Results of Tata Consultancy Services(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Net Sales/Income from operations,"51,488.00","50,844.00","50,165.00","49,862.00","49,780.00","49,275.00","46,819.00","44,480.00","42,459.00","40,845.00","39,315.00","37,722.00","36,017.00","34,957.00","33,365.00","31,624.00","33,222.00","33,040.00","32,387.00","32,657.00","32,046.00","30,964.00","30,792.00","29,368.00","25,570.00","24,278.00","24,032.00","23,476.00","23,406.00","23,184.00","23,016.00","23,087.00","22,258.00","21,621.00","21,636.00","20,349.00","18,798.23","18,936.35","18,405.05","17,438.43","16,893.91","16,692.65","16,607.72","13,944.08","12,649.40","12,366.95","11,925.56","11,410.65","10,371.71","10,544.03"
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,"51,488.00","50,844.00","50,165.00","49,862.00","49,780.00","49,275.00","46,819.00","44,480.00","42,459.00","40,845.00","39,315.00","37,722.00","36,017.00","34,957.00","33,365.00","31,624.00","33,222.00","33,040.00","32,387.00","32,657.00","32,046.00","30,964.00","30,792.00","29,368.00","25,570.00","24,278.00","24,032.00","23,476.00","23,406.00","23,184.00","23,016.00","23,087.00","22,258.00","21,621.00","21,636.00","20,349.00","18,798.23","18,936.35","18,405.05","17,438.43","16,893.91","16,692.65","16,607.72","13,944.08","12,649.40","12,366.95","11,925.56","11,410.65","10,371.71","10,544.03"
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,"25,631.00","25,511.00","26,018.00","25,979.00","25,258.00","24,478.00","23,511.00","22,971.00","21,343.00","20,535.00","20,007.00","19,212.00","17,419.00","17,779.00","17,211.00","16,637.00","16,643.00","16,333.00","16,207.00","15,723.00","15,264.00","15,175.00","14,812.00","14,126.00","13,194.00","12,669.00","12,896.00","12,740.00","12,347.00","11,941.00","11,937.00","11,891.00","11,189.00","10,809.00","10,318.00","10,104.00","8,642.43","6,440.38","6,260.67","6,024.84","5,354.04","5,430.93","5,428.79","5,007.31","4,448.53","4,379.89","4,205.87","4,032.97","3,793.53","3,644.81"
depreciat,975.00,964.00,979.00,969.00,"1,008.00",996.00,976.00,960.00,944.00,925.00,844.00,809.00,788.00,771.00,755.00,739.00,724.00,677.00,664.00,636.00,447.00,430.00,424.00,415.00,420.00,419.00,412.00,396.00,399.00,394.00,396.00,386.00,384.00,365.00,362.00,348.00,367.29,350.51,340.71,335.26,297.21,280.36,261.74,226.43,214.63,202.02,196.93,181.79,184.22,172.82
